date,from,to,type,note,source
2016-10-27,Essential (FRB),Davidson (CNB),payment,130000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-01-15,Columbus Nova,Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-02-15,Columbus Nova,Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-03-15,Columbus Nova,Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-04-15,Columbus Nova,Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-05-15,Columbus Nova,Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-06-15,Columbus Nova,Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-07-15,Columbus Nova,Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-08-15,Columbus Nova,Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2016-10-17,Essential (FRB),Essential Consultants,association,NA,assumed date
2016-10-17,Michael D Cohen,Essential Consultants,association,founded,https://en.wikipedia.org/wiki/Stormy_Daniels%E2%80%93Donald_Trump_scandal
2016-01-15,Renova Group,Columbus Nova,investment,15000000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2016-01-20,Columbus Nova,Gawker Media,investment,15000000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2000-01-15,Andrew Intrater,Columbus Nova,association,runs,https://web.archive.org/web/20180509003139/http://www.columbusnova.com/andrew_intrater.html
2017-01-09,Andrew Intrater,Michael D Cohen,association,met,https://themoscowproject.org/collusion/new-york-times-reveals-meeting-between-cohen-vekselberg-intrater/
2016-01-01,Andrew Intrater,Trump Inaguration,payment,250000,NA
1990-01-01,Viktor Vekselberg,Renova Group,association,owner,https://en.wikipedia.org/wiki/Renova_Group
2017-01-01,Andrew Intrater,Viktor Vekselberg,association,cousin,NA
2017-01-01,Viktor Vekselberg,Andrew Intrater,association,cousin,NA
2017-01-20,Viktor Vekselberg,Trump Inaguration,association,attended,https://www.nbcnews.com/politics/donald-trump/meet-nice-russian-oligarch-linked-trump-lawyer-michael-cohen-n872716
2017-01-20,Andrew Intrater,Trump Inaguration,association,attended,https://nypost.com/2018/05/11/mueller-probing-foreign-donations-to-trumps-inauguration-committee/
2018-05-01,US Govt,Viktor Vekselberg,association,sanctioned for poisoning,https://www.washingtonpost.com/politics/michael-cohen-payments-put-spotlight-on-new-york-investment-firm-linked-to-russian-billionaire/2018/05/20/8a5eb570-59df-11e8-8836-a4a123c359ab_story.html?utm_term=.5c8be031d280
2006-06-01,Michael D Cohen,Donald J Trump,association,works for,https://www.usnews.com/news/national-news/articles/2018-04-16/10-things-you-didnt-know-about-michael-cohen
2017-10-05,Novartis,Essential (FRB),payment,99980,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-11-03,Novartis,Essential (FRB),payment,99980,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-12-01,Novartis,Essential (FRB),payment,99980,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2018-01-05,Novartis,Essential (FRB),payment,99980,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2018-01-30,Novartis,Essential (FRB),payment,800080,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-12-10,ATT,Essential (FRB),payment,600000,https://www.theatlantic.com/technology/archive/2018/05/the-strange-case-of-atts-payments-to-michael-cohen/559994/
2011-05-01,Keith M Davidson,Davidson (CNB),association,NA,https://www.haaretz.co.il/embeds/pdf_upload/2018/20180509-144555.pdf
2011-05-01,Stormy Daniels,Davidson (CNB),association,NA,https://www.cnn.com/2018/04/04/politics/stormy-daniels-karen-mcdougal-deals-keith-davidson-invs/index.html
2011-05-01,Stormy Daniels,Keith M Davidson,association,NA,https://www.cnn.com/2018/04/04/politics/stormy-daniels-karen-mcdougal-deals-keith-davidson-invs/index.html
2015-12-01,Viktor Vekselberg,Vladimir Putin,association,dines with,https://www.nbcnews.com/politics/donald-trump/meet-nice-russian-oligarch-linked-trump-lawyer-michael-cohen-n872716
2017-11-27,Korea Aerospace,Essential (FRB),payment,150000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-04-03,Elliott Broidy,Republican National Committee,association,Finance Committee,https://gop.com/rnc-announces-additions-to-rnc-finance-leadership-team/
1991-01-01,Elliott Broidy,Elliott Broidy Capital Management,association,founded,https://en.wikipedia.org/wiki/Elliott_Broidy
2001-01-01,Elliott Broidy,Circinus,association,owns,https://www.bloomberg.com/profiles/companies/0136784D:US-circinus-llc
2017-11-30,Bank of America,REAG (CNB),payment,200000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-01-01,Elliott Broidy,Bank of America,association,NA,NA
2017-12-05,REAG (CNB),Davidson (CNB),payment,200000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-12-29,Bank of America,REAG (CNB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2018-01-02,REAG (CNB),Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2018-01-31,Bank of America,REAG (CNB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2018-01-31,REAG (CNB),Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2018-03-01,Bank of America,REAG (CNB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2018-03-01,REAG (CNB),Essential (FRB),payment,62500,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-01-01,Michael D Cohen,Morgan Stanley,association,NA,NA
2017-07-13,Essential (FRB),Morgan Stanley,payment,505000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-09-08,Essential (FRB),Morgan Stanley,payment,250000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-08-15,Essential (FRB),Morgan Stanley,payment,250000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-01-20,Donald J Trump,The White House,association,lives at,NA
2006-07-15,Donald J Trump,Stormy Daniels,association,Shark Week,NA
2006-07-15,Stormy Daniels,Donald J Trump,association,Spanked,NA
2006-06-01,Michael D Cohen,Trump Organization,association,NA,NA
2017-04-03,Michael D Cohen,Republican National Committee,association,Finance Committee,https://gop.com/rnc-announces-additions-to-rnc-finance-leadership-team/
2017-06-01,Essential (FRB),Demeter Direct,payment,NA,assumed date
2017-06-01,Mark S Ko,Demeter Direct,association,NA,NA
2017-06-01,Mark S Ko,PK2 Entertainment,association,NA,NA
2017-06-01,Mark S Ko,Michael D Cohen,association,NA,assumed date
2017-06-01,Mark S Ko,Korea Aerospace,association,NA,assumed date
1971-01-01,Donald J Trump,Trump Organization,association,runs,NA
2016-12-12,Michael D Cohen,Trump Tower Elevator,association,NA,NA
2016-12-12,Michael Flynn,Trump Tower Elevator,association,NA,NA
2016-12-12,Ahmed al Rumaihi,Trump Tower Elevator,association,NA,NA
2017-07-01,Ahmed al Rumaihi,Jeff Kwatinetz,association,Approached,http://www.dailymail.co.uk/news/article-5711031/Steve-Bannon-target-bribery-plot-Ice-Cubes-basketball-league-rapper-claims.html
2017-07-01,Jeff Kwatinetz,Ahmed al Rumaihi,association,Rejected,http://www.dailymail.co.uk/news/article-5711031/Steve-Bannon-target-bribery-plot-Ice-Cubes-basketball-league-rapper-claims.html
2017-01-11,Ice Cube,BIG3,association,founded,https://en.wikipedia.org/wiki/BIG3
1997-01-01,Jeff Kwatinetz,The Firm,association,founded,https://en.wikipedia.org/wiki/Jeff_Kwatinetz
2017-01-11,Jeff Kwatinetz,BIG3,association,founded,https://en.wikipedia.org/wiki/BIG3
1998-01-01,Steve Bannon,The Firm,association,NA,https://www.biography.com/people/steve-bannon-022417
2015-01-01,Ahmed al Rumaihi,Qatari Gov't,association,NA,NA
2016-12-12,Ahmed al Rumaihi,Michael Flynn,association,Allegedly Bribed,NA
2017-02-27,Ajit Pai,ATT,association,Net Neutrality,https://gizmodo.com/at-t-deeply-regrets-paying-the-presidents-lawyer-to-hel-1825958845
2017-10-02,Ajit Pai,Donald J Trump,association,reports to,NA
2017-10-02,Ajit Pai,FCC,association,runs,NA
2017-02-27,ATT,Ajit Pai,association,met with,https://gizmodo.com/at-t-deeply-regrets-paying-the-presidents-lawyer-to-hel-1825958845
2016-06-01,Donald J Trump,Michael D Cohen,payment,100000-250000,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2016-07-14,KCS Outsourcing,Michael D Cohen,payment,700,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-02-22,KCS Outsourcing,Michael D Cohen,payment,2998,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2018-01-01,KOBE EVA KERESKEDELMI,Michael D Cohen,payment,10980,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2018-01-01,Michael D Cohen,Bank of America,payment,675,https://www.vox.com/2018/5/16/17363242/michael-cohen-trump-avenatti-leaks-financial-records
2017-01-20,Steve Bannon,The White House,association,advises,NA
NA,Elliott Broidy,George Nader,association,NA,NA
NA,George Nader,Steve Bannon,association,NA,NA
NA,George Nader,Jared Kushner,association,NA,NA
2017-01-20,Jared Kushner,The White House,association,employed by,NA
2009-10-25,Jared Kushner,Ivanka Trump,association,married,NA
2009-10-25,Ivanka Trump,Jared Kushner,association,married,NA
1981-10-31,Ivanka Trump,Donald J Trump,association,daughter of,NA
2016-12-12,Michael D Cohen,Qatari Gov't,association,pitched,https://www.washingtonpost.com/world/national-security/trumps-personal-attorney-solicited-1-million-from-government-of-qatar/2018/05/16/e787e716-592c-11e8-858f-12becb4d6067_story.html?utm_term=.a6f5f82799e9
2016-12-12,Qatari Gov't,Michael D Cohen,association,declined,https://www.washingtonpost.com/world/national-security/trumps-personal-attorney-solicited-1-million-from-government-of-qatar/2018/05/16/e787e716-592c-11e8-858f-12becb4d6067_story.html?utm_term=.a6f5f82799e9
2016-09-01,Trump Organization,Daily Caller,payment,150000,http://observer.com/2017/06/trump-tucker-carlson-daily-caller/
2010-01-11,Tucker Carlson,Daily Caller,association,founded,https://en.wikipedia.org/wiki/The_Daily_Caller
2009-05-01,Tucker Carlson,Fox News,association,anchor for,https://en.wikipedia.org/wiki/Tucker_Carlson#Fox_News_Channel
2016-08-03,George Nader,Erik Prince,association,meets with,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2016-08-03,Donald Trump Jr,Erik Prince,association,meets with,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2016-08-03,Joel Zamel,Erik Prince,association,meets with,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
1997-06-01,Erik Prince,Blackwater,association,founded,https://en.wikipedia.org/wiki/Academi
2016-06-01,George Nader,Mohammed bin Zayed al-Nahyan,association,represents,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2016-06-01,George Nader,Mohammed bin Salman,association,represents,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2010-01-01,Mohammed bin Salman,Saudi Arabia,association,crown prince,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2010-01-01,Mohammed bin Zayed al-Nahyan,United Arab Emirates,association,crown prince,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2016-08-03,Erik Prince,Stephen Miller,association,meets with,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2017-01-20,Stephen Miller,The White House,association,advises,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2012-01-01,Joel Zamel,Psy-Group,association,founded,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2016-12-01,George Nader,Joel Zamel,payment,2000000,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
2016-12-15,George Nader,Michael Flynn,association,meets with,http://nymag.com/daily/intelligencer/2018/05/understanding-the-new-trump-campaign-collusion-story.html
1905-07-08,George Nader,Iran,association,attempted destabilization,https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html
1977-12-31,Donald Trump Jr,Donald J Trump,association,son of,NA
2010-01-01,Erik Prince,Betsy DeVos,association,sibling,NA
2010-01-01,Betsy DeVos,Erik Prince,association,sibling,NA
2017-02-07,Betsy DeVos,Dept of Education,association,runs,NA
2017-02-07,Betsy DeVos,Donald J Trump,association,reports to,NA
2018-05-14,Metallurgical Corporation of China,MNC Land,loan,500000000,https://www.nationalreview.com/news/china-contributing-500-million-trump-linked-project-indonesia/
2018-05-14,Trump Organization,MNC Land,association,branding,NA
2018-05-14,Metallurgical Corporation of China,China,association,state-owned,NA
2017-06-01,Petro Poroshenko,Donald J Trump,association,photo-op,NA
2017-05-01,Petro Poroshenko,Ukranian Aid,payment,400000,http://www.bbc.com/news/world-us-canada-44215656
2017-05-01,Ukranian Aid,Michael D Cohen,payment,400000,NA
2014-06-07,Petro Poroshenko,Ukraine,association,president,NA
2017-01-11,Michael D Cohen,Trump Tower,association,meeting,NA
2017-01-11,Viktor Vekselberg,Trump Tower,association,meeting,NA
2017-01-11,Viktor Vekselberg,Michael D Cohen,association,"""Russia's relations""",https://www.nytimes.com/2018/05/25/us/politics/michael-cohen-viktor-vekselberg-trump-tower.html
1983-02-14,Trump Tower Elevator,Trump Tower,association,inside of,https://en.wikipedia.org/wiki/Trump_Tower
2017-01-01,Richard Gerson,Seychelles,association,visits,https://www.nbcnews.com/politics/national-security/jared-kushner-close-friend-rick-gerson-now-under-scrutiny-mueller-n876361
2017-01-01,Richard Gerson,Mohammed bin Zayed al-Nahyan,association,meets,https://www.nbcnews.com/politics/national-security/jared-kushner-close-friend-rick-gerson-now-under-scrutiny-mueller-n876362
2017-01-01,Richard Gerson,George Nader,association,communicates,https://www.nbcnews.com/politics/national-security/jared-kushner-close-friend-rick-gerson-now-under-scrutiny-mueller-n876363
2016-12-01,Richard Gerson,Four Seasons,association,meeting,https://www.nbcnews.com/politics/national-security/jared-kushner-close-friend-rick-gerson-now-under-scrutiny-mueller-n876364
2016-12-01,George Nader,Four Seasons,association,meeting,https://www.nbcnews.com/politics/national-security/jared-kushner-close-friend-rick-gerson-now-under-scrutiny-mueller-n876365
2016-12-01,Mohammed bin Zayed al-Nahyan,Four Seasons,association,meeting,https://www.nbcnews.com/politics/national-security/jared-kushner-close-friend-rick-gerson-now-under-scrutiny-mueller-n876366
